name;description;inferred_stereotype
eventHostsBoard;A board or committee responsible for hosting an event.;collective
storeLocation;The geographic location of a store.;subkind
ownProfileInteraction;Interaction with one's own profile.;subkind
clothing;Items worn to cover the body.;kind
profileEmail;The email address associated with a user's profile.;quality
profileSpokenLanguage;A language spoken by the user, as listed on their profile.;quality
user;A person who uses a computer or network service.;role
teachingAssistant;A person who assists a teacher with their duties.;role
text;Written or printed words.;kind
profilePicture;A picture displayed on a user's profile.;kind
outdoor;Done, situated, or used in the open air.;subkind
neutralSport;A sport that can be played in any season.;subkind
houseNumOfOccupants;The number of occupants residing in a house.;quality
location;A particular place or position.;kind
profileName;The name displayed on a user's profile.;quality
othersProfileInteraction;Interaction with user profiles that belong to others.;subkind
profileView;The act of viewing a user's profile.;event
audio;Sound that is recorded, transmitted, or reproduced.;kind
houseLocation;The location of a house.;subkind
bathroomAmenity;An amenity or feature found within a bathroom.;subkind
amenity;A desirable or useful feature or facility of a building or place.;kind
Profile;A record or display of a person's information and characteristics.;kind
